时间,室内平均温度(℃)
2022-11-15 00:00:00,16.8
2022-11-15 01:00:00,16.766666666666666
2022-11-15 02:00:00,16.95
2022-11-15 03:00:00,16.9
2022-11-15 04:00:00,17.06
2022-11-15 05:00:00,17.080000000000002
2022-11-15 06:00:00,17.025
2022-11-15 07:00:00,17.2
2022-11-15 08:00:00,17.619999999999997
2022-11-15 09:00:00,18.2
2022-11-15 10:00:00,18.160000000000004
2022-11-15 11:00:00,17.86
2022-11-15 12:00:00,17.9
2022-11-15 13:00:00,18.080000000000002
2022-11-15 14:00:00,18.06
2022-11-15 15:00:00,17.625
2022-11-15 16:00:00,17.740000000000002
2022-11-15 17:00:00,17.24
2022-11-15 18:00:00,15.8
2022-11-15 19:00:00,16.225
2022-11-15 20:00:00,16.275
2022-11-15 21:00:00,16.325
2022-11-15 22:00:00,16.740000000000002
2022-11-15 23:00:00,16.66
2022-11-16 00:00:00,16.580000000000002
2022-11-16 01:00:00,16.44
2022-11-16 02:00:00,16.32
2022-11-16 03:00:00,16.220000000000002
2022-11-16 04:00:00,16.119999999999997
2022-11-16 05:00:00,16.060000000000002
2022-11-16 06:00:00,15.940000000000001
2022-11-16 07:00:00,15.88
2022-11-16 08:00:00,15.919999999999998
2022-11-16 09:00:00,16.06
2022-11-16 10:00:00,16.36
2022-11-16 11:00:00,16.6
2022-11-16 12:00:00,17.1
2022-11-16 13:00:00,17.48
2022-11-16 14:00:00,17.5
2022-11-16 15:00:00,17.4
2022-11-16 16:00:00,17.28
2022-11-16 17:00:00,17.22
2022-11-16 18:00:00,17.04
2022-11-16 19:00:00,16.95
2022-11-16 20:00:00,16.6
2022-11-16 21:00:00,16.425
2022-11-16 22:00:00,17.1
2022-11-16 23:00:00,17.1
2022-11-17 00:00:00,17.05
2022-11-17 01:00:00,17.1
2022-11-17 02:00:00,17.125
2022-11-17 03:00:00,16.975
2022-11-17 04:00:00,17.025
2022-11-17 05:00:00,16.9
2022-11-17 06:00:00,15.5
2022-11-17 07:00:00,15.66
2022-11-17 08:00:00,16.4
2022-11-17 09:00:00,17.78
2022-11-17 10:00:00,17.9
2022-11-17 11:00:00,17.94
2022-11-17 12:00:00,18.14
2022-11-17 13:00:00,18.18
2022-11-17 14:00:00,18.28
2022-11-17 15:00:00,18.259999999999998
2022-11-17 16:00:00,18.475
2022-11-17 17:00:00,19.099999999999998
2022-11-17 18:00:00,18.933333333333334
2022-11-17 19:00:00,18.900000000000002
2022-11-17 20:00:00,18.833333333333332
2022-11-17 21:00:00,18.866666666666664
2022-11-17 22:00:00,18.8
2022-11-17 23:00:00,18.866666666666667
2022-11-18 00:00:00,18.866666666666667
2022-11-18 01:00:00,18.866666666666667
2022-11-18 02:00:00,18.933333333333334
2022-11-18 03:00:00,18.966666666666665
2022-11-18 04:00:00,18.966666666666665
2022-11-18 05:00:00,19.0
2022-11-18 06:00:00,18.700000000000003
2022-11-18 07:00:00,18.700000000000003
2022-11-18 08:00:00,18.54
2022-11-18 09:00:00,18.9
2022-11-18 10:00:00,19.1
2022-11-18 11:00:00,19.080000000000002
2022-11-18 12:00:00,19.34
2022-11-18 13:00:00,19.3
2022-11-18 14:00:00,19.32
2022-11-18 15:00:00,19.28
2022-11-18 16:00:00,19.36
2022-11-18 17:00:00,19.36
2022-11-18 18:00:00,19.48
2022-11-18 19:00:00,19.52
2022-11-18 20:00:00,19.6
2022-11-18 21:00:00,19.66
2022-11-18 22:00:00,19.72
2022-11-18 23:00:00,19.95
2022-11-19 00:00:00,20.025000000000002
2022-11-19 01:00:00,20.0
2022-11-19 02:00:00,19.95
2022-11-19 03:00:00,19.9
2022-11-19 04:00:00,19.875
2022-11-19 05:00:00,19.85
2022-11-19 06:00:00,19.759999999999998
2022-11-19 07:00:00,19.84
2022-11-19 08:00:00,20.14
2022-11-19 09:00:00,21.2
2022-11-19 10:00:00,21.125
2022-11-19 11:00:00,20.9
2022-11-19 12:00:00,21.04
2022-11-19 13:00:00,21.14
2022-11-19 14:00:00,21.02
2022-11-19 15:00:00,20.580000000000002
2022-11-19 16:00:00,20.3
2022-11-19 17:00:00,20.68
2022-11-19 18:00:00,20.9
2022-11-19 19:00:00,20.919999999999998
2022-11-19 20:00:00,20.9
2022-11-19 21:00:00,20.98
2022-11-19 22:00:00,21.0
2022-11-19 23:00:00,21.125
2022-11-20 00:00:00,21.175
2022-11-20 01:00:00,21.225
2022-11-20 02:00:00,21.175
2022-11-20 03:00:00,21.25
2022-11-20 04:00:00,21.25
2022-11-20 05:00:00,21.225
2022-11-20 06:00:00,21.18
2022-11-20 07:00:00,21.16
2022-11-20 08:00:00,21.22
2022-11-20 09:00:00,21.56
2022-11-20 10:00:00,21.2
2022-11-20 11:00:00,21.04
2022-11-20 12:00:00,20.84
2022-11-20 13:00:00,20.759999999999998
2022-11-20 14:00:00,20.919999999999998
2022-11-20 15:00:00,21.06
2022-11-20 16:00:00,21.160000000000004
2022-11-20 17:00:00,21.240000000000002
2022-11-20 18:00:00,21.380000000000003
2022-11-20 19:00:00,21.36
2022-11-20 20:00:00,21.4
2022-11-20 21:00:00,21.44
2022-11-20 22:00:00,21.48
2022-11-20 23:00:00,21.580000000000002
2022-11-21 00:00:00,21.619999999999997
2022-11-21 01:00:00,21.64
2022-11-21 02:00:00,21.68
2022-11-21 03:00:00,21.7
2022-11-21 04:00:00,21.7
2022-11-21 05:00:00,21.66
2022-11-21 06:00:00,21.6
2022-11-21 07:00:00,21.580000000000002
2022-11-21 08:00:00,21.580000000000002
2022-11-21 09:00:00,21.84
2022-11-21 10:00:00,21.5
2022-11-21 11:00:00,21.68
2022-11-21 12:00:00,21.86
2022-11-21 13:00:00,21.619999999999997
2022-11-21 14:00:00,21.46
2022-11-21 15:00:00,21.4
2022-11-21 16:00:00,21.619999999999997
2022-11-21 17:00:00,21.619999999999997
2022-11-21 18:00:00,21.619999999999997
2022-11-21 19:00:00,21.86
2022-11-21 20:00:00,21.98
2022-11-21 21:00:00,22.04
2022-11-21 22:00:00,22.02
2022-11-21 23:00:00,22.04
